date,value
2013-04-28,8958.55
2013-04-29,9001.64
2013-04-30,8997.57
2013-05-01,8880.23
2013-05-02,8298.69
2013-05-03,8197.8
2013-05-04,8285.96
2013-05-05,8371.15
2013-05-06,8338.42
2013-05-07,8140.71
2013-05-08,8183.96
2013-05-09,7899.23
2013-05-10,6968.32
2013-05-11,6872.41
2013-05-12,7178.11
2013-05-13,7111.56
2013-05-14,7050.54
2013-05-15,6857.49
2013-05-16,6933.82
2013-05-17,7469.88
2013-05-18,7530.94
2013-05-19,7135.47
2013-05-20,7060.95
2013-05-21,7207.85
2013-05-22,7276.66
2013-05-23,7994.33
2013-05-24,8122.89
2013-05-25,8232.78
2013-05-26,8530.08
2013-05-27,8682.01
2013-05-28,8996.18
2013-05-29,8879.62
2013-05-30,9100.71
2013-05-31,9177.37
2013-06-01,9051.02
2013-06-02,8675.87
2013-06-03,8245.51
2013-06-04,8346.53
2013-06-05,8585.15
2013-06-06,8428.35
2013-06-07,9355.85
2013-06-08,9470.38
2013-06-09,9937.5
2013-06-10,9711.89
2013-06-11,9531.32
2013-06-12,9466.35
2013-06-13,10147.4
2013-06-14,10929.5
2013-06-15,11500.1
2013-06-16,11704.1
2013-06-17,11512.6
2013-06-18,11528.2
2013-06-19,11189
2013-06-20,11052.3
2013-06-21,11089.8
2013-06-22,10878.5
2013-06-23,10475
2013-06-24,9923.22
2013-06-25,10597.2
2013-06-26,10487.3
2013-06-27,11039.1
2013-06-28,11418.5
2013-06-29,11958.5
2013-06-30,11273.8
2013-07-01,11349.8
2013-07-02,11139.5
2013-07-03,10324.1
2013-07-04,10234.8
2013-07-05,9518.54
2013-07-06,8958.47
2013-07-07,8985.92
2013-07-08,8616.13
2013-07-09,9122.55
2013-07-10,8736.98
2013-07-11,8558.77
2013-07-12,8509.11
2013-07-13,7850.7
2013-07-14,8364.84
2013-07-15,9334.87
2013-07-16,9430.75
2013-07-17,9142.28
2013-07-18,10288.8
2013-07-19,10381.6
2013-07-20,11307.2
2013-07-21,11875.6
2013-07-22,12040.3
2013-07-23,11614.9
2013-07-24,11656.7
2013-07-25,11785.7
2013-07-26,11501.4
2013-07-27,11377.6
2013-07-28,11966.4
2013-07-29,12895.9
2013-07-30,13103
2013-07-31,11992.8
2013-08-01,12107.3
2013-08-02,11678
2013-08-03,13843.1
2013-08-04,14445.5
2013-08-05,14511.8
2013-08-06,14659.5
2013-08-07,14229.9
2013-08-08,15018.8
2013-08-09,14973.3
2013-08-10,15497.5
2013-08-11,16537.9
2013-08-12,17579.6
2013-08-13,17712.4
2013-08-14,17705.2
2013-08-15,15739.7
2013-08-16,15572.8
2013-08-17,15444.6
2013-08-18,14112.2
2013-08-19,14377.4
2013-08-20,14681.9
2013-08-21,15279
2013-08-22,15888.4
2013-08-23,16930.9
2013-08-24,16461.2
2013-08-25,14593
2013-08-26,14626
2013-08-27,15603.2
2013-08-28,15943.4
2013-08-29,17567.7
2013-08-30,17934.7
2013-08-31,19177.8
2013-09-01,19371
2013-09-02,20089
2013-09-03,19716.7
2013-09-04,18154.1
2013-09-05,17085.8
2013-09-06,17653.1
2013-09-07,17781.8
2013-09-08,17513.9
2013-09-09,15850.6
2013-09-10,16783
2013-09-11,18353.4
2013-09-12,17899.7
2013-09-13,14369.1
2013-09-14,12032
2013-09-15,11657.2
2013-09-16,11858.7
2013-09-17,11320.2
2013-09-18,11046.7
2013-09-19,10801
2013-09-20,11517.4
2013-09-21,10125.7
2013-09-22,9818.35
2013-09-23,9522.93
2013-09-24,8790.92
2013-09-25,8374.16
2013-09-26,8267.4
2013-09-27,8302.26
2013-09-28,8348.66
2013-09-29,8336.86
2013-09-30,8101.91
2013-10-01,7884.99
2013-10-02,8004.59
2013-10-03,7967.38
2013-10-04,7342.25
2013-10-05,6764.98
2013-10-06,6811.19
2013-10-07,6625.05
2013-10-08,6873.15
2013-10-09,7312
2013-10-10,7446.83
2013-10-11,7776.42
2013-10-12,7253.32
2013-10-13,7445.77
2013-10-14,7617.48
2013-10-15,7492.86
2013-10-16,7461.29
2013-10-17,7367.33
2013-10-18,6767.31
2013-10-19,6470.43
2013-10-20,6214.99
2013-10-21,6255.71
2013-10-22,5876.72
2013-10-23,5988.39
2013-10-24,5976.8
2013-10-25,5754.33
2013-10-26,5935.52
2013-10-27,6075.59
2013-10-28,6076.26
2013-10-29,6194.88
2013-10-30,6060.11
2013-10-31,5744.35
2013-11-01,5603.82
2013-11-02,5800.35
2013-11-03,5776.23
2013-11-04,5852.48
2013-11-05,5837.7
2013-11-06,5840.3
2013-11-07,5446.91
2013-11-08,4873.73
2013-11-09,4922.17
2013-11-10,4878.71
2013-11-11,4624.14
2013-11-12,4443.88
2013-11-13,4413.27
2013-11-14,4362.64
2013-11-15,4352.31
2013-11-16,4432.47
2013-11-17,4470.23
2013-11-18,4403.74
2013-11-19,4358.43
2013-11-20,4214.63
2013-11-21,4279.31
2013-11-22,4210.05
2013-11-23,3969.89
2013-11-24,3950.25
2013-11-25,3796.15
2013-11-26,3819.21
2013-11-27,3758.27
2013-11-28,3916.42
2013-11-29,4031.39
2013-11-30,4094.07
2013-12-01,4079.23
2013-12-02,3664.81
2013-12-03,3808.84
2013-12-04,3733.45
2013-12-05,3920.6
2013-12-06,4131.98
2013-12-07,4344.65
2013-12-08,4261.67
2013-12-09,4245.44
2013-12-10,4308.82
2013-12-11,4661
2013-12-12,4655.04
2013-12-13,4617.25
2013-12-14,4427.84
2013-12-15,4591.63
2013-12-16,4714.08
2013-12-17,4975.04
2013-12-18,4892.01
2013-12-19,4736.05
2013-12-20,4626.52
2013-12-21,4625.68
2013-12-22,4403.93
2013-12-23,4416.59
2013-12-24,4379.28
2013-12-25,4455.7
2013-12-26,4376.39
2013-12-27,4255.78
2013-12-28,4128.76
2013-12-29,4109.14
2013-12-30,4196.29
2013-12-31,4243.26
2014-01-01,4370.13
2014-01-02,4484.7
2014-01-03,4381.23
2014-01-04,4455.97
2014-01-05,4325.13
2014-01-06,4208.39
2014-01-07,3949.92
2014-01-08,3679.72
2014-01-09,3453.45
2014-01-10,3422.76
2014-01-11,3484.85
2014-01-12,3397.68
2014-01-13,3293.29
2014-01-14,3290.01
2014-01-15,2899.33
2014-01-16,2813.31
2014-01-17,2762.53
2014-01-18,2921.35
2014-01-19,2889.62
2014-01-20,2758.53
2014-01-21,2808.76
2014-01-22,2897.45
2014-01-23,2693.32
2014-01-24,2610.76
2014-01-25,2768.08
2014-01-26,2777.26
2014-01-27,2832.18
2014-01-28,2862.42
2014-01-29,2838.41
2014-01-30,2900.7
2014-01-31,2397.17
2014-02-01,2387.61
2014-02-02,2230.49
2014-02-03,2058.77
2014-02-04,2231.14
2014-02-05,2363.25
2014-02-06,2425.22
2014-02-07,2423.71
2014-02-08,2413.47
2014-02-09,2537.16
2014-02-10,2635.49
2014-02-11,2571.34
2014-02-12,2916.14
2014-02-13,2616.72
2014-02-14,2622.65
2014-02-15,2631.59
2014-02-16,2595
2014-02-17,2514.28
2014-02-18,2515.27
2014-02-19,2559.25
2014-02-20,2588.83
2014-02-21,2603.98
2014-02-22,2552.45
2014-02-23,2615.25
2014-02-24,2682.26
2014-02-25,2757.94
2014-02-26,2765.17
2014-02-27,2723.74
2014-02-28,2772.01
2014-03-01,2763.45
2014-03-02,2662.85
2014-03-03,2662.1
2014-03-04,2685.19
2014-03-05,2539.92
2014-03-06,2534.71
2014-03-07,2786.83
2014-03-08,2789.04
2014-03-09,2997.26
2014-03-10,2996.6
2014-03-11,2950.99
2014-03-12,2901.71
2014-03-13,2815.3
2014-03-14,2869.38
2014-03-15,2999.91
2014-03-16,2686.81
2014-03-17,2585.89
2014-03-18,2581.91
2014-03-19,2488.55
2014-03-20,2448.39
2014-03-21,2311.08
2014-03-22,2301.96
2014-03-23,2307.05
2014-03-24,2267.34
2014-03-25,2260.2
2014-03-26,2573.79
2014-03-27,2763.71
2014-03-28,2523.72
2014-03-29,2320.82
2014-03-30,2303.9
2014-03-31,2119.08
2014-04-01,2084.73
2014-04-02,2004.52
2014-04-03,1904.48
2014-04-04,1864.05
2014-04-05,1785.94
2014-04-06,1812.8
2014-04-07,1831.42
2014-04-08,1812.99
2014-04-09,1856.15
2014-04-10,1873.93
2014-04-11,1788.44
2014-04-12,1833.49
2014-04-13,1723.35
2014-04-14,1596.72
2014-04-15,1578.8
2014-04-16,1618.03
2014-04-17,1608.91
2014-04-18,1492.77
2014-04-19,1473.9
2014-04-20,1434.32
2014-04-21,1347.91
2014-04-22,1327.2
2014-04-23,1331.28
2014-04-24,1319.7
2014-04-25,1294.83
2014-04-26,1267.58
2014-04-27,1250.94
2014-04-28,1232.2
2014-04-29,1235.56
2014-04-30,1235.94
2014-05-01,1240.79
2014-05-02,1215.51
2014-05-03,1217.57
2014-05-04,1194.9
2014-05-05,1187.22
2014-05-06,1188
2014-05-07,1190.8
2014-05-08,1205.89
2014-05-09,1207.14
2014-05-10,1208.07
2014-05-11,1190.34
2014-05-12,1197.21
2014-05-13,1184.98
2014-05-14,1186.58
2014-05-15,1188.37
2014-05-16,1135.09
2014-05-17,1156.44
2014-05-18,1151.74
2014-05-19,1107.59
2014-05-20,1091.72
2014-05-21,1074.92
2014-05-22,1049.29
